Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C35,C34,C32,C31",C_0805_2012Metric,4,100u/6.3V,
2,"C33,C21,C19,C18,C27,C20,C7,C30",C_0805_2012Metric,8,22u/50V,
3,DRV8323H1,QFN-40-1EP_6x6mm_Pitch0.5mm,1,DRV8323HRTA,
4,"U2,U5,U6",TSSOP-8_4.4x3mm_P0.65mm,3,LM2903,
5,J6,PinSocket_1x14_P2.54mm_Vertical,1,TinyFPGA-BX-left,
6,"Q2,Q1,Q4,Q5,Q3,Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,6,CSD18534Q5A,
7,U1,ltc2855,1,LTC2855CDEPBF,
8,R21,R_0402_1005Metric,1,47k -> 10V/V,
9,R20,R_0402_1005Metric,1,>500k -> 20V/V,
10,"D4,D5,D3",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,3,SK6812MINI,
11,R25,R_0402_1005Metric,1,47k -> 3xPWM,
12,"R27,R17,R16,R15,R14,R13,R12,R4,Rled1,R3,R33,R34,R35,R36,R37,R38,R43,R44,R45,R46,R47,R48",R_0402_1005Metric,22,10k,
13,"C23,C22",C_0402_1005Metric,2,C,
14,R23,R_0402_1005Metric,1,0 -> Independent,
15,R22,R_0402_1005Metric,1,0 -> 5V/V,
16,R26,R_0402_1005Metric,1,0 -> 6xPWM,
17,R24,R_0402_1005Metric,1,>500k -> 1xPWM,
18,C25,CP_Elec_6.3x4.5,1,220u,
19,"C8,C9",C_0402_1005Metric,2,2.2uF,
20,"C11,Cf1,C6,C2,C17,Cf2,Cf3",C_0402_1005Metric,7,0.1uF,
21,C12,C_0805_2012Metric,1,22uF,
22,MAX176321,QFN-16-1EP_3x3mm_Pitch0.5mm,1,MAX17632,
23,C10,C_0402_1005Metric,1,5600pF,
24,"R11,R10,R9,R8,R7,R6,R5,R32,R39,R40,R41,R42",R_0402_1005Metric,12,1k,
25,J7,PinSocket_1x14_P2.54mm_Vertical,1,TinyFPGA-BX-right,
26,D2,D_0603_1608Metric,1,D_TVS,
27,J2,PinHeader_1x08_P2.54mm_Vertical,1,PHASES,
28,D1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,LED,
29,J8,Wago_2060_2_SMD,1,POWER_OUT,
30,J3,Wago_2060_2_SMD,1,POWER_IN,
31,R2,R_0402_1005Metric,1,0 -> 40V/V,
32,R1,R_0402_1005Metric,1,18k -> 570/1140mA,
33,"C5,C3",C_0402_1005Metric,2,1uF,
34,C4,C_0402_1005Metric,1,47nF,
35,C1,C_0402_1005Metric,1,10uF,
36,J5,TE-Connectivity_Micro-Match_connector_02x03_Pitch_1.27mm,1,UART,
37,"TP1,TP2,TP3,TP4,TP5,TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
38,R18,R_0402_1005Metric,1,0 -> 1/2A,
39,R19,R_0402_1005Metric,1,75k -> 260/520mA,
40,R28,R_0402_1005Metric,1,>500k -> 120/240mA,
41,R29,R_0402_1005Metric,1,75k -> 60/120mA,
42,R30,R_0402_1005Metric,1,18k -> 30/60mA,
43,R31,R_0402_1005Metric,1,0 -> 10/20mA,
44,U3,TLI4970,1,TLI4970,
45,J9,TE-Connectivity_Micro-Match_connector_02x02_Pitch_1.27mm,1,i2c,
46,"C24,C26,C28",C_0402_1005Metric,3,0.1u,
47,J10,Laird_Technologies_BMI-S-201-F_13.66x12.70mm,1,RF_Shield_Two_Pieces,
48,"H1,H2",MountingHole_2.2mm_M2,2,MountingHole,
49,H3,R1_ear_silk_5.5mm,1,LABEL,
50,H4,R1_eyes_mask_5.5mm,1,LABEL,
51,H5,R1_face_mask_5.5mm,1,LABEL,
52,L1,XAL5050-103MEC,1,10uH,
53,J1,micro_match_female_10pos_SMT,1,ENCODER0,
54,J4,micro_match_female_8pos_SMT,1,ENCODER1,
55,SW1,DIP_2pos_TDA02H0SB1R,1,CONFIG,
56,U4,SOT-23-5,1,EEPROM,
57,H6,Fiducial_0.5mm_Dia_1mm_Outer,1,FID1,
58,H7,Fiducial_0.5mm_Dia_1mm_Outer,1,FID2,
,,,126,,
