Pos,Package,Value,Weborder,Quantity
"C35,C34,C32,C31,C40",C_0805_2012Metric,100u/6.3V,https://www.mouser.de/ProductDetail/Murata-Electronics/GRM21BR60J107ME15L?qs=sGAEpiMZZMs0AnBnWHyRQEdbEG7jlyBq0FoHnh9oJQ6vlhhkwuWCWg%3D%3D,5
U11,TSSOP-14_4.4x5mm_P0.65mm,TXB0104PW,https://www.mouser.de/ProductDetail/Texas-Instruments/TXB0104PWR?qs=sGAEpiMZZMsty6Jaj0%252BBBhonw%2FlHfIB4kNXoR7R5N7Y%3D,1
L1,XAL5050-103MEC,10uH,https://www.mouser.de/ProductDetail/Coilcraft/XAL5050-103MEC?qs=sGAEpiMZZMsg%252By3WlYCkU2kWFds1hA9DT8Bo6GoKcU0%3D,1
U8,iCE40-PL9K-CM81,iCE40-LP8K-CM81,https://www.mouser.de/ProductDetail/Lattice/iCE40LP8K-CM81?qs=%2Fha2pyFaduhJjgNWTtbTrLm%2FmK%252BzFZ8Nddz639YbQSbka0L3%2FhmULg%3D%3D,1
J4,micro_match_female_8pos_SMT,ENCODER1,https://www.mouser.de/ProductDetail/?qs=tddCKBGf4%252BORyb3AeIHMhg%3D%3D,1
DRV8323H1,QFN-40-1EP_6x6mm_Pitch0.5mm,DRV8323HRTA,https://www.mouser.de/ProductDetail/Texas-Instruments/DRV8323HRTAR?qs=sGAEpiMZZMvQcoNRkxSQkrbSyqzE5%252BUqUTyjmr8Ap5M%3D,1
"U2,U5",TSSOP-8_4.4x3mm_P0.65mm,LM2903,https://www.mouser.de/ProductDetail/Texas-Instruments/LM2903PWR?qs=sGAEpiMZZMuayl%2FEk2kXcddlv8%252BlGbVFmd4ffeCe7XE%3D,2
"Q2,Q1,Q4,Q5,Q3,Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,BSZ100N06NS,https://www.mouser.de/ProductDetail/Infineon-Technologies/BSZ100N06NS?qs=sGAEpiMZZMshyDBzk1%2FWizSW%252BwlCH%2FhMZGkFsyLhRhgNyKjyBf4Wvw%3D%3D,6
U1,ltc2855,LTC2855CDEPBF,https://www.mouser.de/ProductDetail/Analog-Devices/LTC2855CDEPBF?qs=sGAEpiMZZMuXae9YOZoWdwZKRtw0vP0LLcEh6PNrP%2Fu2LcrRYdx9hg%3D%3D,1
"R27,R15,R14,R4,Rled1,R3,R35,R36,R45,R46,R48,R49,R47",R_0402_1005Metric,10k,,21
"C23,C22,C11,Cf1,C6,C2,C24,Cf2,C13,C14,C16,C29,C41,C44,C46,C47",C_0402_1005Metric,0.1uF,https://www.mouser.de/ProductDetail/Wurth-Elektronik/885012105018?qs=sGAEpiMZZMukHu%252BjC5l7YRTxnIahtzp%252B5jXYOUpOdJk%3D,16
"C21,C19,C18,C27,C20,C7,C30",C_0805_2012Metric,22uF/35V,https://www.mouser.de/ProductDetail/TDK/C2012JB1V226M125AC?qs=sGAEpiMZZMsh%252B1woXyUXj9l5PHLyix2VN0xVULcNPb0%3D,7
C25,CP_Elec_6.3x4.5,220uF,https://www.mouser.de/ProductDetail/Nichicon/UUR1V221MNL6GS?qs=sGAEpiMZZMvwFf0viD3Y3drhLzO8cB0SKlUrwx8MzyQ%3D,1
"C8,C9",C_0603_1608Metric,2.2uF,https://www.mouser.de/ProductDetail/Murata-Electronics/GRM188R6YA225MA12D?qs=sGAEpiMZZMukHu%252BjC5l7YbA1Uz8mFEbwM%2FG9yF14ldE%3D,2
C12,C_0805_2012Metric,22uF,https://www.mouser.de/ProductDetail/KEMET/C0805C226M9PACTU?qs=sGAEpiMZZMs0AnBnWHyRQHfJxnYD9SALQCiwVfbOcCo%3D,1
MAX176321,QFN-16-1EP_3x3mm_Pitch0.5mm,MAX17632,https://www.mouser.de/ProductDetail/Maxim-Integrated/MAX17632BATE%2b?qs=sGAEpiMZZMtitjHzVIkrqZzDzZChF5ZsVMXMK5D%252BJoTOEFN9wHWeIg%3D%3D,1
C10,C_0402_1005Metric,5600pF/6.3V,,1
"R11,R10,R9,R8,R7,R6,R5,R32,R17,R16,R37,R38",R_0402_1005Metric,1k,,8
D2,D_0603_1608Metric,D_TVS,https://www.mouser.de/ProductDetail/Comchip-Technology/CPDU24V0U-HF?qs=sGAEpiMZZMvxHShE6WhpuxLkT2dpPLN9lxN%2F1bp48iQ%3D,1
J3,Wago_2060_2_SMD,POWER_IN,https://www.reichelt.com/de/en/smd-pcb-terminal-2-pole-rm-4-mm-white-wago-2060-452-p163243.html?&trstct=vrt_pdn,1
"C5,C3,C17,C26,C28,C36",C_0402_1005Metric,1uF,,6
C4,C_0402_1005Metric,47nF,,1
"C15,C38",C_0402_1005Metric,10uF,https://www.mouser.de/ProductDetail/Murata-Electronics/GRJ155R60J106ME11D?qs=sGAEpiMZZMs0AnBnWHyRQO9VYadaKTO%252B4wiupwT68VQ9yfSZ%252BJ8BuA%3D%3D,2
