INOUT USBPU 	 location (6, 33, 0) 	 A3 	 SB_LVCMOS
INOUT TX 	 location (3, 0, 1) 	 J1 	 SB_LVCMOS
INOUT SDA 	 location (33, 4, 1) 	 A9 	 SB_LVCMOS
INOUT SCL 	 location (33, 21, 1) 	 C9 	 SB_LVCMOS
INOUT RX 	 location (0, 3, 0) 	 H2 	 SB_LVCMOS
OUTPUT NEOPXL 	 location (0, 17, 1) 	 E2 	 SB_LVCMOS
OUTPUT LED 	 location (5, 33, 1) 	 B3 	 SB_LVCMOS
INOUT INLC 	 location (30, 33, 1) 	 B8 	 SB_LVCMOS
INOUT INLB 	 location (25, 33, 1) 	 B7 	 SB_LVCMOS
INOUT INLA 	 location (24, 33, 0) 	 B6 	 SB_LVCMOS
INOUT INHC 	 location (28, 33, 1) 	 A8 	 SB_LVCMOS
INOUT INHB 	 location (27, 33, 0) 	 A7 	 SB_LVCMOS
INOUT INHA 	 location (23, 33, 0) 	 A6 	 SB_LVCMOS
INOUT HALL3 	 location (0, 28, 1) 	 B1 	 SB_LVCMOS
INOUT HALL2 	 location (0, 28, 0) 	 C1 	 SB_LVCMOS
INOUT HALL1 	 location (0, 30, 1) 	 C2 	 SB_LVCMOS
INOUT FAULT_N 	 location (4, 33, 0) 	 A2 	 SB_LVCMOS
INOUT ENCODER1_B 	 location (0, 5, 0) 	 G1 	 SB_LVCMOS
INOUT ENCODER1_A 	 location (0, 20, 0) 	 E1 	 SB_LVCMOS
INOUT ENCODER0_B 	 location (0, 20, 1) 	 D1 	 SB_LVCMOS
INOUT ENCODER0_A 	 location (2, 33, 1) 	 A1 	 SB_LVCMOS
INOUT DE 	 location (3, 0, 0) 	 H1 	 SB_LVCMOS
INOUT CS_MISO 	 location (33, 6, 0) 	 D9 	 SB_LVCMOS
INOUT CS_CLK 	 location (33, 2, 1) 	 G9 	 SB_LVCMOS
INOUT CS 	 location (33, 17, 0) 	 D8 	 SB_LVCMOS
INPUT  CLK 	 location (0, 30, 0) 	 B2 	 SB_LVCMOS
